Application_Date,Month,Company,Role,Platform,Location,Response Status,Job Type
10/11/2025,November,Coforge,SQL Data Analyst,LinkedIn,Bengaluru,Rejected ,Entry-Level
7/11/2025,November,EY,Excel Data Analyst,LinkedIn,Hyderabad,Applied,Fresher
6/11/2025,November,Freshworks,Data Analytics Executive,Career Website,Pune,Applied,Entry-Level
5/11/2025,November,Zoho,Tableau Analyst,Indeed,Mumbai,Rejected ,Fresher
4/11/2025,November,Dream11,Business Intelligence Analyst,LinkedIn,Bengaluru,Rejected ,Internship
3/11/2025,November,Paytm,Python Data Analyst,LinkedIn,Mumbai,Rejected ,Entry-Level
28/12/2025,December,InMobi,Marketing Data Analyst,Naukri,Pune,Applied,Experienced
28/12/2025,December,Intellect Design,Data Analytics Intern,LinkedIn,Pune,Applied,Fresher
28/12/2025,December,EXL Services,Junior Data Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
27/12/2025,December,Icertis,Data Analyst,Career Website,Mumbai,Rejected ,Internship
27/12/2025,December,Mu Sigma,Excel Data Analyst,Indeed,Bengaluru,Rejected ,Fresher
27/12/2025,December,Rubrik India,SQL Data Analyst,Indeed,Bengaluru,Applied,Entry-Level
27/12/2025,December,Vymo,Business Data Analyst,LinkedIn,Mumbai,Applied,Fresher
27/12/2025,December,Tech Mahindra,Power BI Analyst,LinkedIn,Hyderabad,Applied,Internship
26/12/2025,December,Persistent Systems,Operations Data Analyst,Naukri,Pune,Applied,Entry-Level
26/12/2025,December,Birlasoft,Python Data Analyst,LinkedIn,Mumbai,Applied,Fresher
26/12/2025,December,Mphasis,Data Analytics Trainee,Career Website,Bengaluru,Rejected,Entry-Level
26/12/2025,December,L&T Infotech,Data Analytics Executive,LinkedIn,Hyderabad,Interview,Experienced
26/12/2025,December,Cure.fit,Tableau Analyst,LinkedIn,Mumbai,Rejected ,Fresher
26/12/2025,December,UpGrad,Business Intelligence Analyst,Naukri,Mumbai,Applied,Internship
25/12/2025,December,Lenskart,Junior BI Analyst,Indeed,Pune,Applied,Entry-Level
25/12/2025,December,Zerodha,Marketing Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
25/12/2025,December,BrowserStack,Analyst,Work India,Mumbai,Rejected ,Entry-Level
25/12/2025,December,CarDekho,Data Analyst,LinkedIn,Hyderabad,Rejected ,Fresher
25/12/2025,December,Uniphore,Data Analyst,LinkedIn,Hyderabad,Applied,Internship
25/12/2025,December,MobiKwik,Data Analyst,Work India,Pune,Applied,Entry-Level
25/12/2025,December,Innovaccer,Analyst,Work India,Mumbai,Rejected ,Fresher
25/12/2025,December,Razorpay,Analyst,LinkedIn,Bengaluru,Rejected ,Entry-Level
25/12/2025,December,FusionCharts,Software Developer,Indeed,Pune,Rejected ,Fresher
24/12/2025,December,Druva,Data Analyst,Work India,Noida,Applied,Internship
24/12/2025,December,Searce,Data Analyst,LinkedIn,Mumbai,Applied,Experienced
24/12/2025,December,Simplilearn,Analyst,Work India,Hyderabad,Applied,Entry-Level
24/12/2025,December,Capillary Technologies,Software Developer,Naukri,Bengaluru,Rejected ,Fresher
24/12/2025,December,Goibibo,Data Analyst,LinkedIn,Noida,Rejected ,Internship
23/12/2025,December,CitiusTech,Junior Data Analyst,LinkedIn,Noida,Applied,Entry-Level
23/12/2025,December,Cure.fit,Business Data Analyst,Work India,Noida,Applied,Fresher
23/12/2025,December,Delhivery,Data Analytics Intern,LinkedIn,Noida,Applied,Entry-Level
23/12/2025,December,UpGrad,Data Analytics Trainee,Career Website,Pune,Applied,Fresher
23/12/2025,December,Lenskart,SQL Data Analyst,Career Website,Pune,Applied,Internship
23/12/2025,December,rix,Data Analytics Trainee,Naukri,Pune,Applied,Entry-Level
23/12/2025,December,CurePath,SQL Data Analyst,LinkedIn,Pune,Applied,Experienced
23/12/2025,December,Shopzy,Excel Data Analyst,Indeed,Noida,Rejected,Fresher
22/12/2025,December,FleetEdge,Power BI Analyst,Work India,Noida,Rejected,Entry-Level
22/12/2025,December,MindLabs,Python Data Analyst,LinkedIn,Bengaluru,Rejected,Internship
22/12/2025,December,SecurePay,Data Analytics Executive,Work India,Noida,Rejected,Fresher
22/12/2025,December,RetailGenie,Data Analytics Intern,Naukri,Noida,Ghosted,Entry-Level
22/12/2025,December,TechHive,Business Intelligence Analyst,LinkedIn,Pune,Ghosted,Fresher
20/12/2025,December,Barclays,Tableau Analyst,Career Website,Pune,Ghosted,Internship
20/12/2025,December,LearnSphere,Junior BI Analyst,LinkedIn,Pune,Ghosted,Entry-Level
20/12/2025,December,AutoSense,Marketing Data Analyst,LinkedIn,Pune,Applied,Fresher
20/12/2025,December,Medilink,Operations Data Analyst,LinkedIn,Noida,Applied,Experienced
20/12/2025,December,TalentCraft,Python Data Analyst,Work India,Mumbai,Applied,Entry-Level
20/12/2025,December,EcoSoft,SQL Data Analyst,Work India,Bengaluru,Applied,Fresher
20/12/2025,December,Infosys,Data Analyst,Work India,Hyderabad,Applied,Internship
20/12/2025,December,LoanMate,Data Analyst,Career Website,Pune,Applied,Entry-Level
18/12/2025,December,ShopEase,Data Engineer,Indeed,Noida,Applied,Fresher
18/12/2025,December,HealthByte,Data Analyst,LinkedIn,Mumbai,Applied,Entry-Level
18/12/2025,December,FoodLink,Data Analyst,Naukri,Mumbai,Applied,Fresher
18/12/2025,December,UrbanPulse,Data Analyst,Work India,Bengaluru,Rejected ,Internship
18/12/2025,December,NeoSoft,Test Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
18/12/2025,December,PayMate,Analyst,Naukri,Pune,Applied,Fresher
17/12/2025,December,EduSmart,Analyst,Work India,Mumbai,Applied,Experienced
17/12/2025,December,CodeLabs,Analyst,LinkedIn,Bengaluru,Rejected ,Entry-Level
17/12/2025,December,CodeForge,Data Analyst,Career Website,Mumbai,Rejected ,Internship
17/12/2025,December,TaskHive,Data Analyst,Career Website,Pune,Applied,Fresher
16/12/2025,December,UrbanLogic,Data Analyst,Naukri,Pune,Applied,Entry-Level
16/12/2025,December,MediTrack,Data Analyst,LinkedIn,Hyderabad,Rejected ,Fresher
16/12/2025,December,EduNext,Data Engineer,Indeed,Mumbai,Rejected ,Internship
16/12/2025,December,Foodify,Python Data Analyst,Work India,Bengaluru,Rejected ,Entry-Level
16/12/2025,December,TravelNest,Marketing Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
16/12/2025,December,ByteCraft,Data Analytics Intern,Work India,Mumbai,Applied,Entry-Level
16/12/2025,December,DataVista,Junior Data Analyst,Naukri,Hyderabad,Applied,Experienced
16/12/2025,December,RoboSolve,Data Analyst,LinkedIn,Pune,Rejected ,Fresher
15/12/2025,December,LogiChain,Excel Data Analyst,Career Website,Mumbai,Rejected ,Internship
15/12/2025,December,SkillMatrix,SQL Data Analyst,LinkedIn,Bengaluru,Applied,Entry-Level
15/12/2025,December,CurePath,Business Data Analyst,LinkedIn,Hyderabad,Applied,Fresher
15/12/2025,December,Shopzy,Power BI Analyst,LinkedIn,Mumbai,Applied,Entry-Level
15/12/2025,December,FleetEdge,Operations Data Analyst,Work India,Mumbai,Applied,Fresher
15/12/2025,December,MindLabs,Python Data Analyst,Work India,Pune,Applied,Internship
15/12/2025,December,SecurePay,Data Analytics Trainee,Work India,Bengaluru,Applied,Entry-Level
15/12/2025,December,RetailGenie,Data Analytics Executive,Career Website,Mumbai,Applied,Fresher
15/12/2025,December,TechHive,Tableau Analyst,Indeed,Hyderabad,Rejected,Entry-Level
14/12/2025,December,Barclays,Business Intelligence Analyst,LinkedIn,Hyderabad,Rejected,Fresher
14/12/2025,December,LearnSphere,Junior BI Analyst,Naukri,Pune,Rejected,Entry-Level
14/12/2025,December,AutoSense,Marketing Data Analyst,LinkedIn,Mumbai,Rejected,Fresher
13/12/2025,December,Medilink,Analyst,LinkedIn,Bengaluru,Ghosted,Fresher
13/12/2025,December,TalentCraft,Data Analyst,Naukri,Pune,Ghosted,Internship
13/12/2025,December,EcoSoft,Data Analyst,LinkedIn,Noida,Ghosted,Internship
13/12/2025,December,Infosys,Data Analyst,Work India,Mumbai,Ghosted,Entry-Level
13/12/2025,December,LoanMate,Analyst,LinkedIn,Hyderabad,Applied,Internship
13/12/2025,December,ShopEase,Analyst,Naukri,Bengaluru,Applied,Fresher
13/12/2025,December,HealthByte,Software Developer,Work India,Mumbai,Applied,Entry-Level
13/12/2025,December,FoodLink,Data Analyst,LinkedIn,Pune,Applied,Fresher
13/12/2025,December,UrbanPulse,Data Analyst,Career Website,Bengaluru,Applied,Entry-Level
12/12/2025,December,NeoSoft,Analyst,Career Website,Hyderabad,Applied,Fresher
12/12/2025,December,PayMate,Software Developer,Naukri,Noida,Applied,Entry-Level
12/12/2025,December,EduSmart,Data Analyst,LinkedIn,Noida,Applied,Internship
12/12/2025,December,CodeLabs,Junior Data Analyst,Indeed,Noida,Applied,Entry-Level
11/12/2025,December,QuickFleet,Business Data Analyst,Work India,Noida,Rejected ,Fresher
11/12/2025,December,WorkHub,Data Analytics Intern,LinkedIn,Pune,Applied,Entry-Level
11/12/2025,December,AIHealth,Data Analytics Trainee,Work India,Pune,Applied,Experienced
11/12/2025,December,SmartFleet,SQL Data Analyst,Naukri,Pune,Applied,Fresher
11/12/2025,December,TaskFlow,Data Analytics Trainee,LinkedIn,Pune,Rejected ,Internship
11/12/2025,December,NeuroTrack,SQL Data Analyst,Career Website,Noida,Rejected ,Entry-Level
11/12/2025,December,MindLabs,Excel Data Analyst,LinkedIn,Noida,Applied,Fresher
11/12/2025,December,SecurePay,Power BI Analyst,LinkedIn,Bengaluru,Applied,Entry-Level
11/12/2025,December,RetailGenie,Python Data Analyst,LinkedIn,Pune,Rejected ,Fresher
11/12/2025,December,TechHive,Service Consultant,Work India,Noida,Rejected ,Internship
11/12/2025,December,Barclays,Desktop Support Engineer,Work India,Mumbai,Rejected ,Entry-Level
11/12/2025,December,LearnSphere,Data Analyst,Work India,Hyderabad,Applied,Fresher
9/12/2025,December,AutoSense,Analyst,Career Website,Bengaluru,Applied,Entry-Level
9/12/2025,December,Medilink,Business Analyst,Indeed,Pune,Applied,Fresher
9/12/2025,December,TalentCraft,Business Associates,LinkedIn,Noida,Rejected ,Entry-Level
9/12/2025,December,EcoSoft,HR Recruiter,Naukri,Mumbai,Rejected ,Fresher
9/12/2025,December,Infosys,Database Engineer ,LinkedIn,Hyderabad,Applied,Fresher
8/12/2025,December,LoanMate,Data Analyst,LinkedIn,Bengaluru,Applied,Internship
8/12/2025,December,ShopEase,Mis Executive,Naukri,Mumbai,Applied,Internship
8/12/2025,December,HealthByte,Analyst,LinkedIn,Pune,Applied,Entry-Level
8/12/2025,December,FoodLink,Software Engineer,Career Website,Bengaluru,Applied,Internship
6/12/2025,December,Blue Matter,Data Analyst,LinkedIn,Pune,Applied,Entry-Level
1/12/2025,December,Boston Consulting Group (BCG),Data Analyst,Work India,Pune,Applied,Internship
1/12/2025,December,Coforge,Analyst,Naukri,Noida,Applied,Entry-Level
1/12/2025,December,Crisil,Software Developer,LinkedIn,Mumbai,Applied,Fresher
1/12/2025,December,CrowdStrike,Data Analyst,Career Website,Bengaluru,Rejected ,Entry-Level
1/12/2025,December,Honeywell,Junior Data Analyst,LinkedIn,Hyderabad,Applied,Fresher
1/12/2025,December,FinovaTech,Business Data Analyst,LinkedIn,Pune,Applied,Fresher
1/12/2025,December,DataNest,Data Analytics Intern,Work India,Noida,Applied,Internship
1/12/2025,December,CloudWave,Data Analytics Trainee,Naukri,Mumbai,Rejected ,Internship
